text	user_id	find_texts	find_modids
казенное учреждение Приобрели шторы по косгу 346 через какое время можно списать и как	7902986	No	No
видеорегистратор какое косгу	16780173	No	No
Добрый день! Заключен договор на услуги связи КОСГУ 221. Произвели установку оборудования, выезд специалиста, подключение и установку и настройку WiFi маршрутизатора. По какому КОСГУ произвести оплату услуг?	16987757	No	No
Добрый день. Вопрос: В учреждение поступил исполнительный лист, по которому учреждение должно выплатить недоплаченную сумму по премии и моральный ущерб уволенному сотруднику. У сотрудника был приказ на выговор, который был обжалован в суде. Как выплатить денежную сумму, по какому КВР и КОСГУ?	7614463	No	No
Добрый день. Можно попросить проводки для казенного учреждения по выплате компенсации за проезд к месту использования отпуска и обратно после увольнения сотрудника с КВР, КОСГУ	19328919	['провод']	['12/347516']
Подскажите какой КВР и КОСГУ бывшему работнику по выплате суточных. Работник сдал авансовый отчет, уволился , но Учреждение еще не выплатила суточные.	4704928	No	No
Здравствуйте. На какой КОСГУ следует отнести прибор учета холодной воды сроком 6 лет?	4314295	No	No
Добрый день! Подскажите пожалуйста по какому КОСГУ и КВР возмещать расходы сотруднику на визу?	2686280	No	No
Добрый день! Подскажите, пожалуйста с какого КВР и КОСГУ перечислить денежные средства сотруднику учреждения на: покупку билетов для поездки в командировку и на проживание в отеле.	849106	No	No
КОСГУ оплата за изготовление и монтаж натяжных потолков?	4822669	['монтаж']	['12/347479']
Доброе утро, подскажите на какой КОСГУ отнести наматрацник противопролижневый надувной, с регулируемым давлением многоразового использования	610236	No	No
Доброе утро! В здании установлен водяной счетчик.Требуется его заменить. Пр какому КОСГУ отразить приобретение счетчика? Замена будет произведена ремонтной службой учреждения.	1880464	['водяной счетчик']	['12/347478']
Добрый день, подскажите, как оплатить приобретение попугая в живой уголок в бюджетное дошкольное образовательное учреждение косгу, квр и по какому виду деятельности.	15785517	No	No
Здравствуйте! Подскажите пожалуйста КОСГУ набор инструментов для химической водоочистки?	15480870	No	No
При заключении договора ГПХ на оказание услуг физ.лица (КОСГУ 226), нужно ли начислять и платить ЕНП	868222	No	No
"Добрый день, в предмете договора ""Услуги по транспортированию с погрузочно-разгрузочными работами, демонтажу, утилизации комплекса рентгеновского диагностического ""Аполло"", какой КОСГУ ?"	2102425	['утилизация', 'монтаж']	['12/347479', '12/347542']
Добрый день! Подскажите пожалуйста, по какому КВР и КОСГУ возмещать расходы по страховому полису (для загранкомандировки) сотруднику ?	2686280	No	No
Добрый день! Учреждение заключило договор на монтаж подвесного потолка (локально-сметный расчет). Подскажите, пожалуйста, по какому КОСГУ необходимо осуществлять оплату по актам выполненных работ в рамках этого договора?	9699256	['монтаж', 'подвесной потолок']	['12/347516', '12/347479']
косгу ввода	5290585	No	No
Здравствуйте! Подскажите, пожалуйста муниципальному учреждению на какой вид расхода (КВР) и КОСГУ отнести расходы на Благоустройство спортивной игровой площадки для игры в настольный теннис ?	1918917	No	No
доброе утро! По какому КВР и КОСГУ отразить Апгрейд программного продукта	5378689	No	No
Добрый день! В бюджетном учреждении приобретены трости и костыли для малоимущих. В ХФП денежные средства были предусмотрены на 346 КОСГУ. Комиссия по приемке решает, что это основные средства. Подскажите, пожалуйста как быть? Нужно ли вносить изменения в ХФП. Имеем ли мы право оплатить на 346 КОСГу и принять на учет как основное средство?	609754	No	No
"По какому косгу отразить оказание услуг по размещению (захоронению) отходов
производства и потребления (мусор от субботников-ветви, листья) нерегиональным оператором?"	6806976	No	No
Доброе утро. Приобретение кубков для вручение победителей, КОСГУ какой?	4922934	No	No
Добрый день. На каком счете и какому КОСГУ отразить перчатки боксерские?	3355731	No	No
На какое КОСГУ отнести Шланг пищевой силиконовый	20081380	No	No
добрый день. подскажите устройство дренажной ямы к какому косгу отнести?	9024031	No	No
Здравствуйте. Предстоит заключение МК на восстановление мемориальных сооружений (на кладбищах). КОСГУ 226. Данные мемориальные сооружения не стоят на балансе учреждения. Работы будут проводиться в рамках благоустройства территории. Верно ли использовать КОСГУ 226?	7227012	['провод']	['12/347516']
Добрый день.Подскажите КОСГУ конструктора в бюджетном учреждении?	2115414	No	No
Доброе утро. По какой статье КОСГУ произвести оплату покупки оцинкованного ведра д/пожарного щита и материалов на его реконструкцию	8313475	No	No
Добрый день. Подскажите, какими документами можно подтвердить, что строительный надзор за работами по капитальному ремонту здания тоже входит в расходы по кап.ремонту? вопрос: расходы на строительный надзор были оплачены по КФО5 КОСГУ 226 КВР 243. Проверяющий орган просит пояснить, на каком основании эти расходы мы посчитали как расходы по капитальному ремонту? спасибо.	13153273	['капитальный ремонт', 'капитальный ремонт здание']	['86/196012']
Имеется договор безвозмездного пользования имуществом, НЕ подпадающий по действие СГС Аренда. Имущество отражено на счете 01. По отдельному договору возмещаем ком.услуги и услуги по содержанию. По какому КОСГУ необходимо осуществлять оплату ком.услуг и услуг по содержанию имущества?	15886322	No	No
по какому косгу оплатить медали, которые будут лежать на складе?	2396123	No	No
По какому квр и косгу провести приобретение сим карты	2694181	['провод']	['12/347516']
Здравствуйте, по какому КОСГУ отразить жидкость для генератора дыма?	9994253	No	No
Здравствуйте! Купили наборы для лабораторных исследований по КОСГУ 310. На каком счету их отразить?	9043373	No	No
По какому КВР и КОСГУ платить штраф гражданину по решению суда за нарушение закона о защите прав потребителей	6405870	['штраф']	['86/287439']
КОСГУ услуги маммографа на выезде?	9188616	No	No
Добрый день! Наша организация заключает договор на выполнение работ по изготовлению и установке распашных уличных ворот , это будет КОСГУ 310?	1935381	No	No
Здравствуйте, по какой КОСГУ оплатить работы по разработке и изготовлению программно-аппаратного комплекса	9902610	No	No
Здравствуйте. Организация приобретает канат грузового назначения типа ЛК-Р. На какой КОСГУ отнести?	20582991	No	No
Добрый день! На какой КОСГУ отнести расходы по приобретению лицензии на программное обеспечение.	5773658	No	No
Здравствуйте. Подскажите правильный КВР и КОСГУ демонтаж и монтаж конструкции в моечной	923615	['монтаж конструкция', 'монтаж']	['12/347479']
Здравствуйте! Подскажите, пожалуйста, на какой КОСГУ отнести покупку Коммутатор TP-Link для системы видеонаблюдения?	185799	['система видеонаблюдение']	['12/430615']
Добрый день! Подскажите, пожалуйста, КОСГУ. Предмет договора: работы по установке приборов учета холодного водоснабжения.	13260489	No	No
Добрый день! такой вопрос,как мне отразить оплату санаторно-курортного лечения работника КВР и КОСГУ	11707407	No	No
Здравствуйте! Подскажите по какому КОСГУ оплатить канистры для бензин? Срок службы больше года, но согласно п.99 инструкции 157-н канистры можно отнести к таре для хранения товарно-материальных ценностей вне зависимости от срока службы?	4177976	No	No
на каком косгу Топор	20081380	No	No
Добрый день. В прошлом году сотруднику была начислена задолженность за проживание в общежитии(20529- найм,20934- компенсация коммунальных услуг), отражена в общей сумме на счете 20934 как ущерб. Часть суммы была удержана в прошлом году, часть в текущем. Сомневаемся в проводках, нужно ли было непогашенную часть долга отразить по косгу 510, Какими должны были быть проводки по прошлому и текущему годам?	2685681	['провод']	['12/347516']
Добрый день какой косгу применить для электромонтажных работ,а именно -прокладка кабеля и установка розеток?	18539900	['кабель', 'монтаж']	['12/347516', '12/347479']
Здравствуйте,подскажите пожалуйста косгу на ошейник для собак и поводок	20615892	No	No
Добрый день ! Подскажите пожалуйста какой КОСГУ Фрахтование транспортного средства??	2081960	No	No
по какому квр и косгу платить компенсацию за задержку выплаты отпускных?	8762438	No	No
Добрый день! По какому КОСГУ и КВР оплатить компенсацию расходов на проезд сотрудника к месту учебы, с сотрудником заключен договор о целевом обучении?	15490535	No	No
Добрый день, могли бы вы предоставить аналитику с кодом дохода и КОСГУ по безвозмездному поступлению от физ. лиц в бюджетное учреждение.	6429353	No	No
Здравствуйте, на какой КОСГУ отнести расходы по оказании услуг по очистки от снега хоккейного корта	20865718	No	No
подскажите пожалуйста приобретаем очки для ребенка косгу?	3496603	No	No
"Добрый день, казенному учреждению были выделены ЛБО на устройство двух игровых площадок. Денежные средства выделены в рамках проведения капитального ремонта. В соответствии со сметой расходов учреждение будет проводить бетонные работы, далее стелить покрытие и устанавливать игровое и спортивное оборудование. Просим разъяснить:
- по какому КОСГУ проводить санкционирование данных расходов 225 или 347?
- если по КОСГУ 347 то все ли расходы включать в формирование стоимости игровых площадок?"	3669078	['капитальный ремонт', 'бетон', 'провод']	['86/196012', '12/347516']
щит металлический накладной - косгу?	2648039	No	No
Добрый день! По какому КОСГУ надо оплачивать деньги на социальную поддержку студенту ординатору и нужно ли удерживать с них налог? Какими НПА использовать?	12192320	No	No
Добрый день! Подскажите пожалуйста по какому косгу провести приобретение аптечек без наполнения?	2763448	['провод']	['12/347516']
Добрый день! Муниципальные служащие проходят ежегодную диспансаризацию, на выделенные из республики средства. Имеет ли право бюджетная организация оплатить дополнительное медицинское обследование в счет сметы учреждения? Если да, то по какому КОСГУ и КВР?	15332688	No	No
Здравствуйте. К какому КОСГУ нужно отнести изготовление брошюр методических рекомендаций для дальнейшей их раздачи родителям детей-инвалидов?	2541436	No	No
Услуги по временному размещению какой квр и косгу?	5810711	No	No
Услуги по замене оборудования охранно-пожарной сигнализации КОСГУ?	2812909	['охранный пожарный сигнализация']	['12/430615']
Добрый день. Бюджетное учреждение. Больница. На каком косгу учитывать реактивы, реагенты, используемые для проведения анализов в нашей лаборатории?	2785520	No	No
Автономное учреждение по карте получает в кассу наличные деньги на заработную плату. Отражается эта операция: Дт 2.201.34 все нули КОСГУ 510 Кт 0905 000000000 111 210.03.661; Дт 2 НД 0905 000000000111 211; Дт 2.17.34. 0905 00000000111.510; Кт 2.17.30. 090500000000111.610. При технологическом анализе программа показывает ошибку. Как правильно отразить КВР и КИФ по счету 210.03?	4394807	No	No
Добрый день! Вопрос: Сотрудник учреждения заключил контракт с СО, освобождён от работы на период военной службы по контракту. Трудовой договор приостановлен. Коллективным договором учреждения предусмотрена ежемесячная фиксированная выплата в размере 50000рублей, на время прохождения службы в зоне СВО. По какому КВР и КОСГУ проводить оплату данному сотруднику: - если эта выплата проходит как ежемесячная материальная помощь ; - если выплата проходит как ежемесячная фиксированная сумма на время службы по контракту, т.е. социальная выплата.	490419	['провод']	['12/347516']
КВР и КОСГУ?	5810711	No	No
какое косгу следует применить для лестницы алюминиевой переносной	4884226	No	No
сотрудник направляется в командировку ,берет такси от аэропорта,по какому косгу,квр и какие документы для авансового отчета	4587168	No	No
Здравствуйте. По какому косгу оплачивать самоспасатель газодымозащитный и противопожарное полотно (кошма)?	1818994	No	No
Добрый день! Можно ли расценивать приобретение мониторов и системных блоков для замены как запчасти по косгу 346?	20148664	['монитор', 'системный блок']	['86/279552']
добрый день . Какому КОСГУ относить (лаборатория) стекло и хим посуду, реактивы, реагенты, пробирки, колбы и стаканы...	2785520	No	No
кбк, косгу получен платеж за право заключить договор	8181861	No	No
Здравствуйте. Какое КОСГУ применить при заключении контракта, предмет которого - оформление фасада здания. Спецификация контракта влючает обшивку крыльца здания панелями и светодиодную иллюминацию фасада.	12161212	No	No
Добрый день.! Казенное учреждение ( (МЧС) покупают универсальные фильтрирующие самоспасатели с масками и камеры защитные детские .По какому КОСГУ отразить в учете?	3360997	No	No
добрый день. могут ли быть приобретены бланки строгой отчетности казенным учреждением по косгу 346?	5705633	No	No
Здравствуйте! какой будем косгу по услуге по замене молнии на одежде	14748600	No	No
Добрый день , концертная организация получила доход от реализации программок на мероприятие , по какому Косгу проводить доход от реализации ?	4043479	['провод']	['12/347516']
Добрый день! Заключили один договор по КВР 242 на ремонт орг техники с заменой запчастей. Подскажите пожалуйста КОСГУ по этому договору будут 225 и 346 или только 225?	4874426	No	No
Тапочки махровые одноразовые относятся к средствам индивидуальной защиты? Косгу 345 или 346?	16296327	No	No
"Добрый день. Подскажите пожалуйста по какому КОСГУ отразить ""Изготовление и отпуск технических средств организации дорожного движения (дор.знаки) ?"	17264450	No	No
"Здравствуйте. Подскажите пожалуйста как правильно отразить в бюджетном учете поступление периодичного издания ""Газета Ведомости"" . Из документов поставщик передал счет-фактуру и требование накладную. Нужно ли затрагивать КОСГУ 346?"	19335215	No	No
Здравствуйте! Подскажите пожалуйста, расходы на монтажные работы по установке дополнительного кондиционера в серверной на какую КОСГУ отнести?	17397026	['сервер', 'монтаж']	['12/347479', '86/279552']
Здравствуйте. В администрацию сельского поселения поступило решение суда о неосновательном обогащении. По решению суда администрация должна выплатить поставщику неосновательное обогащение. По какому КВР и КОСГУ администрация должна оплатить эти расходы поставщику (ООО)?	2432871	No	No
подскажите, если фонд вернул излишне уплаченную сумму штрафа по акту, какой КВР и КОСГУ?	2496112	['штраф']	['86/287439']
Здравствуйте подскажите по какому КОСГУ в бюджетном учреждении провести работы по изготовлению каркасной конструкции сборно-разборной 5 на 2,6 метров для размещения баннера?	17532895	['сбор', 'провод']	['12/347516', '12/347542']
Уточнение к вопросу № 393 2422 от 26.09.2023г. Здравствуйте, спасибо за ответ. Необходимы уточнения. Если по экономической сути для нашего Учреждения это оплата услуг пожаротушения по квр 244, будет ли это являться закупкой для нашего учреждения и необходимо ли проводить все процедуры с этим связанные в части 44 фз? Казенное учреждение отказывается заключать договор в рамках 44-фз. Как оформить договор в таком случае и какой квр и косгу указать в плане фхд?	4414618	['провод']	['12/347516']
по какому косгу отразить замену масла в автомобиле и фильтров с материалом поставщика услуг?	12404216	No	No
Добрый день! По какому квр и косгу отнести цветы приобретенные бюджетной организацией	3741316	No	No
не много не поняла КВР 130 косгу 510?	2496112	No	No
Добрый день! В плане финансово-хозяйственной деятельности АВТОНОМНОГО учреждения какая должна быть аналитика по КВР и КОСГУ	16674600	No	No
Добрый день! Заключаем договор на монтаж системы охранной сигнализации. Средства на оплату контракта запланированы по КОСГУ 226 КВР 244. Можем ли мы в спецификации к договору помимо работ, указать материалы и их стоимость, необходимые для системы. Для оплаты по договору помимо акта выполненных работ и счета нужна ли товарная накладная.	2210539	['монтаж система охранный сигнализация']	['12/430615']
Добрый день. по какому КОСГУ провести расходы на выполнение предпроектных работ по сбору информации для предварительного проектирования объекта?	6300127	['сбор', 'провод']	['12/347516', '12/347542']
Добрый день ! скажите пожалуйста по какому косгу приниать услугу по полировке очков	3496603	No	No
Добрый день! Подскажите пожалуйста стартер ГАЗ, УАЗ редукторный - статья КОСГУ? Думаю 346, заранее благодарю	18900091	No	No
косгу возмещение АПС	2583967	No	No
добрый день!на какое косгу отнести поставку новогодних елочных украшений (светодиодная гирлянда)?	10377037	No	No
"Доходы учреждения в виде денежных средств, признанных бесхозяйными оформляются записями: Дебет 2.209.89.56Х Кредит 2.401.10.189 – начислен доход в сумме обеспечения контракта;
Дебет 3.304.01.83Х Кредит 3.304.06.732 – обеспечение контракта переведено в доход учреждения;
Дебет 2.304.06.832 Кредит 2.209.89.66Х – отражены по КФО 2 деньги, которые остаются у учреждения; 
Дебет 3.304.06.832 Кредит 3.201.11.610 – уменьшен остаток средств по КФО 3; 
Увеличение забалансового счета 18 (код аналитики 610, КОСГУ 610)
Дебет 2.201.11.510 Кредит 2.304.06.732 – увеличен остаток средств по КФО 2; 
Увеличени"	1525290	No	No
Учреждение заключило договор на услуг связи предметом которого является - оказывать Абоненту услуги местной, внутризоновой телефонной связи, телематических услуг связи, указанные в заказах к договору, и иные услуги, технологически неразрывно связанные с услугами телефонной связи, доступа к сети передачи данных и направленные на повышение их потребительской ценности. Оператор выставил счет на оплату выезда тех.специалиста, установку и подключение и настройку WiFi маршрутизатора. установку оборудования, абонентская плата за интернет. По каком КОСГУ произвести оплату указанного счета?	16987757	No	No
добрый день ! подскажите пожалуйста с КОСГУ И КВР возврата субсидии на выполнение муниципального задания, по результату акта проверки сотруднику по КФО 4 были выплачены излишние средства, с согласия сотрудника эти средства удержали из зарплаты и надо вернуть в бюджет	2482365	No	No
добрый вечер, по какому косгу проходит приобретение медицинский инструмент - зонд желудочный, пинцет, корнцанг	1539067	No	No
выполнить работы по устройству (замене) крылец выхода косгу	6850216	No	No
Подскажите пожта по какому КОСГУ оплатить замену светильников в уличных сетях электроснабжения (казенное учреждение )?	4515865	['замена светильник']	['86/527411']
Добрый день. Университет(бюджетное учреждение) отправляет студентов на мероприятие в другой город. Проводки по расходам на проезд и проживание? КВР и косгу?	5603530	['провод']	['12/347516']
Бюджетное учреждение производит работы по установки светильников для освещения школьных досок, в договоре прописана сумма с установкой.По какому КОСГУ произвести оплату?	14684568	['доска']	['12/347516']
учреждение покупает пули пневматические, баллоны композитные высокого давления ,по какому косгу оплачивать	4587168	No	No
Здравствуйте ! Подскажите нам нужно провести по гражданско-правовому договору человеку ( за размещение конкурсной документации по конкурсу ) как правильно оформить по какой статье косгу оплатить ? и надо ли данную услугу облагать страховыми взносами ?	3016395	['провод']	['12/347516']
По какому КОСГУ И КВР оплатить расходы по поставке программно–аппаратного комплекса ПАК ViPNetCoordinator HW50 A 4.x (+unlim) с установкой и настройкой и с сертификатом активации сервиса совместной технической поддержки ПАК ViPNetCoordinator HW50 A 4.x (+unlim) на срок 2 года?	1897315	No	No
Устройство канализации и системы водоотведения - какое КОСГУ?	19152205	No	No
по какому КОСГУ оплачиваются листовки для распространения лицам освобожденным из мест заключения	3108050	No	No
виды расхода и косгу на продукты потраченные на похороны военослужащих на украине	20618796	No	No
Здравствуйте. На каком счете отразить поступление денежных средств по возмещению госпошлины. Какой ставим КОСГУ и КВР	9892291	No	No
Добрый день, подскажите пожалуйста проводки КОСГУ в казенном учреждении по выставлению пеней за нарушение сроков оплаты по расходам на возмещении. коммунальных и арендных платежей за 2020-2023 года?	16960190	['пеня', 'провод']	['12/347516', '86/287439']
здравствуйте, посоветуйте, пожалуйста косгу- работы по защите негорючими материалами по краям выбросных отверстий системы вытяжной противодымной вентиляции здания-закупка по устранению предписания Госпожнадзора	5446006	No	No
Здравствуйте!Подскажите пожалуйста по какому КОСГУ произвести оплату в казенном учреждении за проведение поверки средств измерений :сигнализатора загазованности СЗ и разовое техническое обслуживание.Спасибо	7145650	No	No
Елена Александровна, 349 КОСГУ Матзапасы, которые получили безвозмездно, учтите на счете 105.00. Ранее вы такой ответ дали.	1729086	No	No
По какой квр и косгу провести компенсацию при сокращении	2694181	['провод']	['12/347516']
Добрый день! Мы-бюджетное учреждение. Планируем стоить туалет в детском лагере. На постройку туалета часть средств выделено из субсидии на ИЦ. предмет контракта - Выполнение работ по изготовлению основания для вспомогательного помещения при столовой, универсальных сантехнических кабинах. Какой КОСГУ мы должны использовать?	700087	No	No
Добрый день. Подскажите как правильно и правомерно списать в бухгалтерском учете бюджетного учреждения продукты питания использованные для мероприятия: Как готовое блюдо( через меню-требование) или через 349 КОСГУ как готовый набор продуктов.	556288	No	No
По какому косгу провести в учете расходы на апгрейд программы 1С:Предприятие? В бухгалтерском учете программа 1С уже числится на счете 111.6I. Надо ли увеличить ее стоимость в связи с апгрейдом?	2744772	['провод']	['12/347516']
Добрый день! Мы бюджетное учреждение. Студент целевик который получал у нас материальное стимулирование в виде стипендии 3 года расторг с нами договор и вернул стипендию за 3 года. Вопрос: Правильно ли я как бухгалтер поступила, отнеся это поступление на КВД 130 КОСГУ 134? Мои коллеги поступили иначе, возврат стипендии за этот год они отнесли на восстановление кассовых расходов, правы ли они?	3581985	No	No
Добрый день, подскажите, пожалуйста, КОСГУ при приобретении вакцины против гриппа для иммунизации работников	6540881	No	No
"Здравствуйте, На заданный вопрос про учет марок по номинальной их стоимости или по закупочной, нам ответили: Принять к учету денежные документы в кассу нужно по их номинальной стоимости, мы рекомендуем в данной ситуации разницу стоимости отразить как безвозмездное получение денежных документов. Дебет 0.201.35.510 Кредит 0.302.21.73Х Отражено поступление в кассу марок в сумме приобретения Дебет 0.201.35.510 Кредит 0.401.10.189 Отражено поступление в кассу марок в сумме разницы между номинальной стоимостью и суммой,уплаченной поставщику. 

«Коды КОСГУ по доходам и группы подвидов доходов с комм"	1916494	No	No
Екатерина, Вы мне очень помогли и вопросы отпали. Приказ о возврате стипендии за все годы мы издали в этом году, дебиторскую задолженность по сч. 209.34 мы начислили в этом году, следовательно КОСГУ 134 с аналитикой 134. Спасибо Вам большое!	3581985	No	No
Добрый день. На территории школы установлен забор с входной дверью(калитка), Мы хотим эту дверь сделать кодовой. К двери будет подключена система доводчика, открытия и закрытия с рабочего места вахтера. Как правильно оприходовать эту систему, по какому КОСГУ	1925070	['дверь']	['12/347595']
"по какому КОСГУ оплатить программное обеспечение ""Почтовый сервер"" услуги хранения баз данных"	20254707	['сервер']	['86/279552']
Добрый день! Сотрудник учреждения ( физическое лицо) оплатил госпошлину за БУ. По какому ВР и КОСГУ произвести возмещение сотруднику?	1890437	No	No
Бюджетное учреждение приобретает неисключительные права на использование модуля Антивируса Касперского на 3 года. Мы учитываем на счете 4 111 6I 353. Вопрос: А сертифицированный установочный комплект СКЗИ ПО ViPNetClient 4 для сети к Касперскому по какому КОСГУ произсевти оплату?	14684568	No	No
Добрый день! У нас был заключен договор с юридическим лицом на съемку кино-фильма. Договор исполнен. Исполнитель по договору предъявил нам компенсация расходов связанных с проездом и проживанием в разных городах России с подтверждением всех первичных документов. Это не входило в стоимость договора изначально. Мы заключили с Исполнителем Соглашение о компенсации понесенных расходов (авиа, жд билеты, такси, проживание в гостиницах разных городов где была съемка фильма). По какому КОСГУ отразить компенсацию понесенных Исполнителем расходов?	12987069	No	No
Добрый вечер! Кто может мне разобраться с принятием к учету коммуникационного оборудования приобретено в рамках единого контракта, где в спецификацию входит - коммутатор, радиоточка доступа и кабель. Оплата произведена по КОСГУ 310. На данный момент мне никто конкретного ответа не дал. А ссылки на инструкции мне больше не интересны. За две недели столько перечитала. Мне нужна практика, кто с этим сталкивался. Спасибо	20604692	['кабель']	['12/347516']
Здравствуйте. Казенное учреждение приобрело на один год лицензию Касперского по косгу226 суммой 113000 рублей. Контракт заключен через аукцион, соответственно документы были получены и подписаны в единой информационной системе. Мы получили упд на 113000 рублей. Но данную лицензию надо поставить на учет на один год. Даты подписания разные соответственно был задействован счет 401.60. Подскажите проводки пожалуйста?	4252135	['провод']	['12/347516']
Добрый день, подскажите, пожалуйста косгу перевозка автомобильным транспортом груза	19114457	No	No
какой вид расхода и косгу применить? подрядчик обязуется изготовить по заданию заказчика изделие и передать заказчику	1823795	No	No
Здравствуйте! Мы приобретает ткани для пошива сценических костюмов по КОСГУ 347, далее изготовленные костюмы принимаем на счет 101.38. Правильно мы делаем?	4241669	No	No
Добрый день. К какому КОСГУ отнести возмещение по банковской гарантии в связи с невыполнением обязательств по банковской гарантии?	9975176	No	No
Здравствуйте. подскажите пожалуйста казенное учреждение приобретает программный комплекс ( бессрочный) для учета имущества казны и 8 конфигураций рабочих мест. подскажите пожалуйста КВР и КОСГУ для оплаты. как учитывать?	7652110	No	No
